Titulo,Conteudo
Primeira lição: Capitalismo,"Mises começa sua primeira palestra com uma visão geral do desenvolvimento do capitalismo a partir do feudalismo. As empresas começaram a ""produção em massa para satisfazer as necessidades das massas"" em vez de se concentrarem na produção de bens de luxo para a elite. Essas grandes empresas tiveram sucesso porque atenderam às necessidades de um grupo maior de pessoas, e seu sucesso dependeu inteiramente de sua capacidade de dar a essa massa de consumidores o que eles queriam.        Apesar dos aumentos surpreendentes e inegáveis nos padrões de vida, mesmo para uma população crescente, o capitalismo teve seus detratores, incluindo Karl Marx, que deu esse nome ao capitalismo. Mises diz que, embora Marx odiasse o capitalismo e que Marx o apelidou assim como um ataque ao sistema, o nome é bom, porque:        indica claramente a origem dos grandes progressos sociais ocasionados pelo capitalismo.  Esses progressos são fruto da acumulação do capital; baseiam-se no fato de que as pessoas, por via de regra, não consomem tudo o que produzem e no fato de que elas poupam -- e investem -- parte desse montante.        A prosperidade é o resultado de prover para o futuro – mais precisamente é o resultado de deixar de lado o consumo hoje, poupando e investindo recursos na produção. Mises diz que esse princípio explica por que alguns países são mais prósperos do que outros. Quando se trata de crescimento econômico, ""não há milagres"". Há apenas ""a aplicação dos princípios da economia de livre mercado, dos métodos do capitalismo""."
Segunda lição: Socialismo,"Na segunda palestra, Mises examina mais de perto o sistema proposto por Marx: o socialismo. A liberdade econômica significa que as pessoas podem escolher suas próprias carreiras e usar seus recursos para realizar seus próprios fins. A liberdade econômica é a base de todas as outras liberdades. Por exemplo, quando o governo se apodera de indústrias inteiras, como a da imprensa, ele determina o que será publicado e o que não será publicado e a ""liberdade de imprensa desaparece"".        Mises reconhece que não existe ""liberdade perfeita"" em um sentido metafísico. Devemos obedecer às leis da natureza, especialmente se pretendemos usar e transformar a natureza de acordo com nossos fins. E mesmo a liberdade econômica significa que há uma interdependência fundamental entre os indivíduos: ""A liberdade na sociedade significa que um homem depende tanto de outras pessoas quanto outras pessoas dependem dele"". Isso vale também para as grandes empresas e para os empreendedores que as lideram. Os verdadeiros ""patrões"" na economia de mercado não são aqueles que gritam ordens aos trabalhadores, mas são os consumidores.        Os socialistas desprezam a ideia de soberania do consumidor porque isso significa permitir erros. Em sua opinião, o Estado deve desempenhar o papel paternalista de decidir o que é bom para todos. Assim, Mises não vê diferença entre socialismo e sistema de escravidão: ""O escravo deve fazer o que seu superior lhe ordena, mas o cidadão livre – e é isso que a liberdade significa – está em posição de escolher seu próprio modo de vida"". No capitalismo, essa liberdade possibilita que as pessoas nasçam na pobreza, mas depois obtenham grande sucesso ao prover para seus semelhantes. Esse tipo de mobilidade social é impossível sob sistemas como o feudalismo e o socialismo.        Mises termina esta palestra com uma breve explicação da crítica do cálculo econômico ao socialismo. Quando a propriedade privada dos meios de produção é proibida, o cálculo econômico é impossibilitado. Sem preços de mercado para fatores, não podemos economizar a produção e suprir as necessidades das massas, não importa quem supervisione o conselho de planejamento socialista. O resultado é a privação em massa e o caos."
Terceira lição: Intervencionismo,"O intervencionismo descreve uma situação em que o governo ""quer interferir nos fenômenos de mercado"". Cada intervenção envolve uma revogação da soberania do consumidor, como Mises havia explicado nas duas palestras anteriores.        O governo quer interferir com a finalidade de obrigar os homens de negócio a conduzir suas atividades de maneira diversa da que escolheriam caso tivessem de obedecer apenas aos consumidores.  Assim, todas as medidas de intervencionismo governamental têm por objetivo restringir a supremacia do consumidor.        Mises dá um exemplo de um teto de preço para o leite. Embora aqueles que decretam tal intervenção possam pretender tornar o leite mais acessível para as famílias mais pobres, há muitas consequências não intencionais: aumento da demanda, diminuição da oferta, racionamento sem preço na forma de longas filas nas lojas que vendem leite e, o que é importante, motivos para o governo intervir de novas maneiras agora que sua intervenção inicial não atingiu o objetivo pretendido. Assim, no exemplo de Mises, ele rastreia as novas intervenções, como racionamento do governo, controles de preços para alimentos para gado, controles de preços para bens de luxo e assim por diante, até que o governo tenha interferido em praticamente todas as partes da economia, ou seja, o socialismo.        Depois de fornecer alguns exemplos históricos desse processo, Mises dá o panorama geral. O intervencionismo, como uma ""política do meio do caminho"", é, na verdade, um caminho para o totalitarismo."
Quarta lição: Inflação,"Não há nenhuma maneira secreta para a solução dos problemas financeiros de um governo: se este precisa de dinheiro, tem de obtê-lo impondo tributos aos seus cidadãos (ou, em circunstâncias especiais, tomando-o emprestado de pessoas que têm dinheiro).  Mas muitos governos, podemos mesmo dizer a maioria deles, julga haver um outro método para obter o dinheiro necessário, qual seja, o de simplesmente imprimi-lo.        Se o governo tributa os cidadãos para construir um novo hospital, então os cidadãos são forçados a reduzir seus gastos e o governo ""substitui"" os gastos dos cidadãos pelos seus próprios. Se, no entanto, o governo usar dinheiro recém-impresso para financiar a construção do hospital, então não há reposição de gastos, mas um acréscimo, e ""os preços tenderão a subir"".        Mises, por norma, explode a ideia de um ""nível de preços"" que sobe e desce, como se todos os preços mudassem simultânea e proporcionalmente. Em vez disso, os preços sobem ""passo a passo"". Os primeiros receptores de dinheiro novo aumentam suas demandas por bens, o que proporciona nova renda para aqueles que vendem esses bens. Esses vendedores agora podem aumentar suas demandas por mercadorias. Isso explica o processo pelo qual alguns preços e a renda de algumas pessoas aumentam antes de outras. O resultado é uma ""revolução dos preços"", em que os preços e a renda sobem de forma gradual, a começar pela origem do novo dinheiro. Dessa forma, o dinheiro novo altera a distribuição de renda e a disposição dos recursos reais em toda a economia, criando ""vencedores"" e ""perdedores"".        O padrão-ouro oferece um controle rigoroso contra as tendências inflacionárias dos governos. Em tal sistema, o governo não pode criar novas unidades de dinheiro para financiar seus gastos, por isso deve recorrer à tributação, que é notavelmente impopular. A inflação fiduciária, no entanto, é sutil e seus efeitos são complexos e tardios, o que a torna especialmente atraente para os governos que podem exercê-la.        Nesta palestra, Mises também executa uma crítica minuciosa de Keynes e do keynesianismo, mas vou deixar isso para os leitores desfrutarem."
Quinta lição: Investimento Estrangeiro,"Mises retoma um princípio que introduziu na primeira palestra, de que o crescimento econômico decorre da acumulação de capital. As diferenças nos padrões de vida entre os países não são atribuíveis à tecnologia, às qualidades dos trabalhadores ou às habilidades dos empreendedores, mas à disponibilidade de capital.        Uma forma de acumular capital dentro de um país é por meio do investimento estrangeiro. Os britânicos, por exemplo, forneceram grande parte do capital necessário para desenvolver o sistema ferroviário nos Estados Unidos e na Europa. Isso proporcionou benefícios mútuos tanto para os britânicos quanto para os países beneficiários desse investimento. Os britânicos obtiveram lucros através de sua propriedade dos sistemas ferroviários, e os países receptores, mesmo com uma balança comercial temporária ""desfavorável"", obtiveram os benefícios do sistema ferroviário, incluindo a expansão da produtividade que, ao longo do tempo, lhes permitiu comprar ações das empresas ferroviárias dos britânicos.        O investimento estrangeiro permite que a acumulação de capital em um país acelere o desenvolvimento de outros países, tudo sem um sacrifício unilateral por parte do país que fornece o investimento. Guerras (especialmente guerras mundiais), protecionismo e tributação interna destroem esse processo mutuamente benéfico. Quando os países impõem tarifas ou expropriam o capital que pertence a investidores estrangeiros, eles ""impedem ou retardam a acumulação de capital interno e colocam obstáculos no caminho do capital estrangeiro""."
Sexta lição: Política e Ideias,"As ideias liberais clássicas dos filósofos do século XVIII e início do XIX ajudaram a criar os governos restritos e a liberdade econômica que levaram à explosão do crescimento econômico que Mises discutiu na primeira palestra. Mas o surgimento de ""grupos de pressão"" minoritários, o que hoje chamaríamos de ""grupos de interesse especial"", afastou os políticos dos ideais liberais clássicos e direcionou os políticos para o intervencionismo. Os grupos que se beneficiariam de várias intervenções pressionam o governo para conceder-lhes favores, como privilégios de monopólio, impostos sobre a concorrência (incluindo tarifas) e subsídios. E, como vimos, essa espiral intervencionista tende ao socialismo e ao totalitarismo. O ""ressurgimento do espírito bélico"" no século XX provocou guerras mundiais e exacerbou as tendências totalitárias mesmo nas nações outrora exemplares.        O aumento concomitante dos gastos do governo tornou o dinheiro fiduciário e a inflação tentadores demais. As guerras e projetos especiais defendidos pelos grupos de pressão eram caros, e por isso as restrições orçamentárias foram descartadas em favor da inflação.        Isso, diz Mises, explica a queda da civilização. Ele cita o Império Romano como exemplo:        Que acontecera? Qual teria sido o problema? Qual poderia ter sido a causa de desintegração de um império que, sob todos os aspectos, construíra uma civilização sem outra que se lhe igualasse até o século XVIII? A verdade é que essa civilização foi destruída por algo semelhante, quase idêntico, aos perigos que rondam hoje a nossa civilização: por um lado houve intervencionismo; por outro, inflação.        Mises encontra esperança no fato de que os detratores da liberdade econômica, como Marx e Keynes, não representam as massas ou mesmo a maioria. Marx, por exemplo, ""não era um homem do proletariado. Era filho de um advogado. (...) Ele foi apoiado por seu amigo Friedrich Engels, que – sendo um fabricante – era o pior tipo de ""burguês"", de acordo com as ideias socialistas. Na linguagem do marxismo, ele era um explorador"".        Isso implica que o destino da civilização depende de uma batalha de ideias, e Mises pensou que as boas ideias venceriam:        Já considero um ótimo sinal o simples fato de eu hoje estar aqui, nesta grande cidade que é Buenos Aires, a convite deste centro, falando sobre a livre economia. Há cinquenta anos, ninguém no mundo ousava dizer uma palavra sequer em favor de uma economia livre.  Hoje, em alguns dos países mais avançados do mundo, já temos instituições que são centros para a propagação destas ideias.        Que possamos continuar o projeto de Mises e cumprir sua esperança. O que o mundo precisa é de ""Menos Marx, Mais Mises""."
Um histórico vermelho de sangue do comunismo,"Os atos inomináveis de Adolf Hitler empalidecem em comparação aos horrores cometidos pelos comunistas na antiga URSS, na República Popular da China e no Camboja, apenas para ficar entre os principais.        Entre 1917 e 1987, Vladimir Lênin, Josef Stalin e seus sucessores assassinaram 62 milhões de pessoas do seu próprio povo. O ponto de partida foi a Ucrânia, onde, de acordo com o historiador Robert Conquest, o regime comunista foi o responsável direto por 14,5 milhões de mortes.        Já entre 1949 e 1987, o comunismo da China, liderado por Mao Tsé-Tung e seus sucessores, assassinou ou de alguma maneira foi o responsável pela morte de 76 milhões de chineses (há historiadores que dizem que o número total pode ser de 100 milhões ou mais. Somente durante o Grande Salto para Frente, de 1959 a 1961, o número de mortos varia entre 20 milhões e 75 milhões. No período anterior foi de 20 milhões. No período posterior, dezenas de milhões a mais.)        O próprio Mao Tsé-Tung famosamente se gaba de ter ""enterrado vivos 46.000 intelectuais"", o que significa que ele os enviou para campos de concentração, onde ficariam calados e morreriam de fome.        No Camboja, o Khmer Vermelho exterminou aproximadamente 3 milhões de cambojanos, em uma população de 8 milhões. Este radical movimento comunista comandado por Pol Pot chegou ao ponto de ter como alvo qualquer pessoa que usasse óculos. Crianças eram assassinadas a baionetas.        No total, os regimes marxistas assassinaram aproximadamente 110 milhões de pessoas de 1917 a 1987. Destes, quase 55 milhões de pessoas morreram em vários surtos de inanição e epidemias provocadas por marxistas -- dentre estas, mais de 10 milhões foram intencionalmente esfaimadas até a morte, e o resto morreu como consequência não-premeditada da coletivização e das políticas agrícolas marxistas.        Para se ter uma perspectiva deste número de vidas humanas exterminadas, vale observar que as duas grandes guerras mundiais do século XX, mais as Guerras da Coréia e do Vietnã, mataram aproximadamente 85 milhões de civis. Ou seja, quando marxistas controlam estados, o marxismo é mais letal que as principais guerras do século XX combinadas."
A Babilônia Monetária e a Necessidade de uma Perspectiva:,"Rothbard inicia o capítulo destacando a confusão que permeia o debate sobre a questão monetária. Uma miríade de perguntas sem respostas, como a necessidade ou não de intervenção governamental na oferta de moeda, demonstra a dificuldade em compreender a verdadeira natureza do dinheiro. A autora atribui essa confusão à tendência humana de se concentrar em problemas imediatos e práticos, ignorando as questões mais fundamentais. Para superar essa barreira, Rothbard defende a importância de uma visão mais abrangente, buscando compreender os princípios básicos da ação humana, utilizando como ferramenta a análise do modelo ""Robinson Crusoé"", clássico da teoria econômica."
O Dinheiro como Mercadoria e a Evolução em uma Sociedade Livre:,"O autor argumenta que o dinheiro surge naturalmente em uma sociedade livre, como resultado do processo de troca indireta. A partir do escambo, as pessoas descobrem que certas mercadorias, devido à sua maior comerciabilidade, se tornam mais desejáveis como meio de troca, impulsionando um ciclo de auto-reforço. Ao longo da história, o ouro e a prata se destacaram nesse processo, se tornando as mercadorias mais amplamente aceitas como dinheiro. Rothbard enfatiza que o dinheiro é uma mercadoria como qualquer outra, sujeita às forças da oferta e da demanda. O ""preço"" do dinheiro, portanto, é seu poder de compra em relação a outros bens, e este poder de compra é determinado pela oferta e demanda."
"O Papel do Governo e a Falácia da ""Estabilidade"" Monetária:","O autor expõe os impactos nocivos da interferência do governo na moeda. Ele critica a crença de que o dinheiro deve ser controlado pelo Estado, através da cunhagem, impressão de papel-moeda, definição de leis de curso forçado e criação de bancos centrais. Rothbard argumenta que essas medidas distorcem o livre mercado, impedindo a alocação eficiente de recursos, gerando inflação, redistribuindo renda de forma injusta e prejudicando o cálculo econômico. Em relação à ""estabilidade"" do poder de compra do dinheiro, Rothbard argumenta que tal objetivo é ilusório e que o livre mercado já oferece mecanismos para se proteger de flutuações do valor do dinheiro, como a indexação de contratos. A intervenção governamental, segundo ele, distorce o mercado e impede a disseminação de um padrão de vida mais elevado através de investimentos em capital e aumento da produtividade."
